[-6.24105145 -4.08436361]	[0.1762752  0.02013231]	[0.50147493]
[-6.27008591 -4.11180512]
[-6.24977804 -4.09794979]
[-6.36977339 -4.08576971]
[-6.3322069  -4.09963658]
[-6.43680136 -4.05774486]
[-6.26347541 -4.07163882]
[-5.97440709 -4.07272613]
[-6.12175544 -4.07331023]
[-6.03876534 -4.08003833]
[-6.28469792 -4.10349096]
[-6.10839042 -4.06008858]
[-6.53084209 -4.11964659]
[-5.95618192 -4.07151367]
[-6.31352461 -4.09058492]
[-6.21710942 -4.0788923 ]
[-6.15790545 -4.08355962]
[-6.29930077 -4.08589044]
[-6.32452109 -4.08034864]
[-6.25499409 -4.07977754]
[-6.47150798 -4.09624088]
[-5.86872583 -4.02755075]
[-6.06640899 -4.07713856]
[-6.2376774  -4.07106623]
[-6.16919988 -4.07636666]
[-6.30310495 -4.08576922]
[-6.17374007 -4.10871893]
[-6.08506933 -4.05953742]
[-6.36253842 -4.100336  ]
[-6.20998727 -4.07783131]
[-6.40098592 -4.10736938]
[-6.2604474  -4.07621397]
[-6.29799033 -4.0510763 ]
[-6.21154734 -4.07513228]
[-6.33303664 -4.11081347]
[-6.22672934 -4.11178598]
[-6.36948465 -4.11230404]
[-5.67408108 -4.05828888]
[-6.29772549 -4.06820325]
[-6.38677031 -4.10277408]
[-6.25040714 -4.07285321]
[-6.23964256 -4.08266638]
[-5.98586616 -4.1007127 ]
[-6.18823704 -4.07470434]
[-6.38746294 -4.0961918 ]
[-6.44324552 -4.09445521]
[-6.12888092 -4.08583885]
[-5.92811692 -4.04517664]
[-6.20345032 -4.09217626]
[-6.32358806 -4.08153948]
[-6.19694162 -4.07826975]
[-6.18241098 -4.08822368]
[-6.14112811 -4.02134019]
[-6.22320889 -4.07053794]
[-6.17724337 -4.09088324]
[-6.19580649 -4.07312606]
[-6.04571731 -4.088349  ]
[-6.25974558 -4.07290924]
[-6.21205055 -4.07540297]
[-6.32618146 -4.08269737]
[-6.36568871 -4.06182837]
[-6.11851481 -4.04710671]
[-6.02810596 -4.0997923 ]
[-6.4037538  -4.08872357]
[-5.8254394  -4.06575801]
[-6.54632146 -4.09915267]
[-6.35581544 -4.07941723]
[-6.09882586 -4.09217258]
[-6.39924512 -4.08936513]
[-6.26757655 -4.12720083]
[-6.01940768 -4.07037478]
[-6.02259346 -4.07866142]
[-6.17247708 -4.0610938 ]
[-6.29633291 -4.06694785]
[-6.30263898 -4.0862535 ]
[-6.38998036 -4.09734097]
[-6.05883964 -4.06125863]
[-6.15882153 -4.07601515]
[-6.27097657 -4.04354181]
[-5.73547204 -4.03830776]
[-6.22741312 -4.07124339]
[-6.33006818 -4.0831357 ]
[-6.19864028 -4.06994327]
[-6.3368687  -4.09876583]
[-6.15550761 -4.06566887]
[-6.12334404 -4.09214481]
[-6.10728358 -4.0959885 ]
[-5.97083638 -4.07688838]
[-6.33622667 -4.09533435]
[-6.09864359 -4.08614568]
[-6.36508134 -4.07643018]
[-6.30986768 -4.07444763]
[-6.20403843 -4.08346619]
[-5.93458404 -4.08884053]
[-6.31927142 -4.07995394]
[-6.36357485 -4.08100126]
[-6.30494834 -4.09057674]
[-6.01401894 -4.06724438]
[-6.32007465 -4.10726451]
[-6.40636192 -4.10823233]
[-6.13523411 -4.07966107]
[-6.1629999 -4.0897085]
[-6.27679817 -4.08663893]
[-6.28091391 -4.04768193]
[-6.09235159 -4.03718162]
[-6.02761    -4.07790341]
[-6.0689013  -4.07189795]
[-6.57432734 -4.10335734]
[-6.00868058 -4.07697404]
[-6.06945239 -4.08750919]
[-6.4171415  -4.11223131]
[-6.07905038 -4.0669431 ]
[-6.10117483 -4.07483929]
[-6.18727495 -4.08556819]
[-6.1935146  -4.10378663]
[-6.06998261 -4.09599175]
[-6.09803944 -4.09037917]
[-6.31537998 -4.06976178]
[-6.30825967 -4.11323186]
[-6.1968843  -4.09437985]
[-6.25251157 -4.06891158]
[-6.42472915 -4.08595272]
[-6.13746586 -4.06010391]
[-6.58455793 -4.10087153]
[-6.34690514 -4.07128031]
[-6.1587087  -4.07661994]
[-5.98323254 -4.05034339]
[-6.17290835 -4.03762933]
[-6.23491505 -4.04595175]
[-6.20966928 -4.06984231]
[-6.33375708 -4.07691742]
[-6.3154739  -4.04743154]
[-6.0597538  -4.07183721]
[-6.34376156 -4.09339331]
[-6.3280475  -4.07515242]
[-5.97064709 -4.08926554]
[-5.95996704 -4.0497688 ]
[-6.33811775 -4.079051  ]
[-5.88462837 -4.07284035]
[-6.01770535 -4.11263219]
[-6.14865601 -4.07507666]
[-6.75071033 -4.09125212]
